rel_number;matrix;Technique;Mitigation;Efficiency
549;Enterprise;Odbcconf;Execution Prevention;6
550;Enterprise;BITS Jobs;Filter Network Traffic;7
551;Enterprise;Container Orchestration Job;Privileged Account Management;6
552;Enterprise;Network Logon Script;Restrict File and Directory Permissions;6
553;Enterprise;Modify System Image;Code Signing;5
554;Enterprise;Exploitation for Defense Evasion;Exploit Protection;6
555;Enterprise;Inhibit System Recovery;Operating System Configuration;7
556;Enterprise;Virtual Private Server;Pre-compromise;5
557;Enterprise;Component Firmware;Update Software;8
558;Enterprise;Path Interception by Unquoted Path;Execution Prevention;6
559;Enterprise;Domain Accounts;Privileged Account Management;6
560;Enterprise;Bypass User Account Control;User Account Control;8
561;Enterprise;Indicator Removal;Remote Data Storage;6
562;Enterprise;LSASS Memory;Credential Access Protection;5
563;Enterprise;Multi-Factor Authentication Interception;User Training;8
564;Enterprise;Service Execution;Behavior Prevention on Endpoint;5
565;Enterprise;Non-Standard Port;Network Intrusion Prevention;8
566;Enterprise;Upload Malware;Pre-compromise;5
567;Enterprise;Escape to Host;Privileged Account Management;6
568;Enterprise;Code Signing Certificates;Pre-compromise;5
569;Enterprise;Network Device Authentication;Privileged Account Management;6
570;Enterprise;Systemd Timers;Restrict File and Directory Permissions;6
571;Enterprise;Reflection Amplification;Filter Network Traffic;7
572;Enterprise;Environmental Keying;Do Not Mitigate;5
573;Enterprise;LSA Secrets;Privileged Account Management;6
574;Enterprise;Disable or Modify Cloud Firewall;Audit;6
575;Enterprise;Subvert Trust Controls;Restrict Registry Permissions;5
576;Enterprise;AppCert DLLs;Execution Prevention;6
577;Enterprise;Scheduled Task;Operating System Configuration;7
578;Enterprise;Spearphishing Link;Software Configuration;8
579;Enterprise;Scheduled Task/Job;Audit;6
580;Enterprise;Portable Executable Injection;Behavior Prevention on Endpoint;5
581;Enterprise;Valid Accounts;Application Developer Guidance;5
582;Enterprise;Embedded Payloads;Antivirus/Antimalware;5
583;Enterprise;Template Injection;User Training;8
584;Enterprise;Forge Web Credentials;Audit;6
585;Enterprise;Trusted Relationship;Network Segmentation;8
586;Enterprise;System Script Proxy Execution;Execution Prevention;6
587;Enterprise;Domain Trust Modification;Privileged Account Management;6
588;Enterprise;Abuse Elevation Control Mechanism;Operating System Configuration;7
589;Enterprise;Transfer Data to Cloud Account;User Account Management;8
590;Enterprise;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Network Segmentation;8
591;Enterprise;Exploits;Pre-compromise;5
592;Enterprise;Windows Service;User Account Management;8
593;Enterprise;Exfiltration Over C2 Channel;Data Loss Prevention;5
594;Enterprise;Cloud Storage Object Discovery;User Account Management;8
595;Enterprise;XSL Script Processing;Execution Prevention;6
596;Enterprise;Steal or Forge Authentication Certificates;Encrypt Sensitive Information;5
597;Enterprise;Obtain Capabilities;Pre-compromise;5
598;Enterprise;Network Sniffing;Encrypt Sensitive Information;5
599;Enterprise;Terminal Services DLL;Restrict Registry Permissions;5
600;Enterprise;External Defacement;Data Backup;6
601;Enterprise;RDP Hijacking;Operating System Configuration;7
602;Enterprise;Network Provider DLL;Audit;6
603;Enterprise;Container Administration Command;User Account Management;8
604;Enterprise;Data from Removable Media;Data Loss Prevention;5
605;Enterprise;PowerShell;Disable or Remove Feature or Program;6
606;Enterprise;AS-REP Roasting;Password Policies;7
607;Enterprise;Modify Authentication Process;Audit;6
608;Enterprise;Kernel Modules and Extensions;Antivirus/Antimalware;5
609;Enterprise;Windows Remote Management;Network Segmentation;8
610;Enterprise;Regsvcs/Regasm;Execution Prevention;6
611;Enterprise;Network Boundary Bridging;Multi-factor Authentication;8
612;Enterprise;SAML Tokens;Active Directory Configuration;5
613;Enterprise;Compromise Software Dependencies and Development Tools;Update Software;8
614;Enterprise;BITS Jobs;Operating System Configuration;7
615;Enterprise;Exfiltration Over Alternative Protocol;User Account Management;8
616;Enterprise;Network Device Configuration Dump;Encrypt Sensitive Information;5
617;Enterprise;SSH Authorized Keys;User Account Management;8
618;Enterprise;Exploit Public-Facing Application;Privileged Account Management;6
619;Enterprise;Build Image on Host;Network Segmentation;8
620;Enterprise;Code Repositories;User Account Management;8
621;Enterprise;Linux and Mac File and Directory Permissions Modification;Privileged Account Management;6
622;Enterprise;Symmetric Cryptography;Network Intrusion Prevention;8
623;Enterprise;PowerShell;Privileged Account Management;6
624;Enterprise;Steal or Forge Kerberos Tickets;Privileged Account Management;6
625;Enterprise;Valid Accounts;Account Use Policies;5
626;Enterprise;Private Keys;Restrict File and Directory Permissions;6
627;Enterprise;SNMP (MIB Dump);Encrypt Sensitive Information;5
628;Enterprise;Brute Force;Account Use Policies;5
629;Enterprise;Pre-OS Boot;Update Software;8
630;Enterprise;PowerShell;Code Signing;5
631;Enterprise;Exfiltration Over Other Network Medium;Operating System Configuration;7
632;Enterprise;Disable or Modify Tools;Restrict Registry Permissions;5
633;Enterprise;Encrypted Channel;SSL/TLS Inspection;8
634;Enterprise;Clear Mailbox Data;Remote Data Storage;6
635;Enterprise;XDG Autostart Entries;Limit Software Installation;5
636;Enterprise;Valid Accounts;User Training;8
637;Enterprise;SSH;User Account Management;8
638;Enterprise;DHCP Spoofing;Network Intrusion Prevention;8
639;Enterprise;Add-ins;Behavior Prevention on Endpoint;5
640;Enterprise;Remote Desktop Protocol;Limit Access to Resource Over Network;6
641;Enterprise;Remote Services;Multi-factor Authentication;8
642;Enterprise;Software Deployment Tools;User Training;8
643;Enterprise;Systemd Service;Restrict File and Directory Permissions;6
644;Enterprise;Network Service Discovery;Disable or Remove Feature or Program;6
645;Enterprise;Unsecured Credentials;Restrict File and Directory Permissions;6
646;Enterprise;Create or Modify System Process;Code Signing;5
647;Enterprise;Clear Windows Event Logs;Encrypt Sensitive Information;5
648;Enterprise;Impair Defenses;User Account Management;8
649;Enterprise;DNS/Passive DNS;Pre-compromise;5
650;Enterprise;Phishing;Software Configuration;8
651;Enterprise;Abuse Elevation Control Mechanism;Privileged Account Management;6
652;Enterprise;Identify Roles;Pre-compromise;5
653;Enterprise;Container API;Privileged Account Management;6
654;Enterprise;SQL Stored Procedures;Privileged Account Management;6
655;Enterprise;ARP Cache Poisoning;Disable or Remove Feature or Program;6
656;Enterprise;Spearphishing Attachment;Antivirus/Antimalware;5
657;Enterprise;Exfiltration Over Web Service;Data Loss Prevention;5
658;Enterprise;Modify Registry;Restrict Registry Permissions;5
659;Enterprise;Data from Cloud Storage;User Account Management;8
660;Enterprise;Network Device CLI;Privileged Account Management;6
661;Enterprise;Network Provider DLL;Restrict Registry Permissions;5
662;Enterprise;Supply Chain Compromise;Update Software;8
663;Enterprise;Patch System Image;Code Signing;5
664;Enterprise;Cached Domain Credentials;Password Policies;7
665;Enterprise;Exploit Public-Facing Application;Application Isolation and Sandboxing;5
666;Enterprise;Steal or Forge Kerberos Tickets;Password Policies;7
667;Enterprise;Domain Policy Modification;Audit;6
668;Enterprise;Windows Credential Manager;Disable or Remove Feature or Program;6
669;Enterprise;Group Policy Modification;Audit;6
670;Enterprise;Downgrade System Image;Privileged Account Management;6
671;Enterprise;Dynamic Data Exchange;Software Configuration;8
672;Enterprise;Implant Internal Image;Privileged Account Management;6
673;Enterprise;Clear Command History;Remote Data Storage;6
674;Enterprise;Security Account Manager;User Training;8
675;Enterprise;Service Stop;User Account Management;8
676;Enterprise;Network Device Configuration Dump;Network Intrusion Prevention;8
677;Enterprise;Drive-by Compromise;Exploit Protection;6
678;Enterprise;Implant Internal Image;Code Signing;5
679;Enterprise;System Binary Proxy Execution;Exploit Protection;6
680;Enterprise;Launch Daemon;Audit;6
681;Enterprise;Distributed Component Object Model;Network Segmentation;8
682;Enterprise;Transport Agent;Audit;6
683;Enterprise;Component Object Model;Privileged Account Management;6
684;Enterprise;Shortcut Modification;User Account Management;8
685;Enterprise;DCSync;Privileged Account Management;6
686;Enterprise;Spearphishing Attachment;Network Intrusion Prevention;8
687;Enterprise;Email Forwarding Rule;Disable or Remove Feature or Program;6
688;Enterprise;Exploitation for Defense Evasion;Threat Intelligence Program;8
689;Enterprise;Scheduled Task/Job;Operating System Configuration;7
690;Enterprise;Services File Permissions Weakness;User Account Management;8
691;Enterprise;Local Accounts;Password Policies;7
692;Enterprise;Code Signing Policy Modification;Privileged Account Management;6
693;Enterprise;Browser Session Hijacking;User Training;8
694;Enterprise;SMB/Windows Admin Shares;Limit Access to Resource Over Network;6
695;Enterprise;Firmware Corruption;Privileged Account Management;6
696;Enterprise;Bypass User Account Control;Privileged Account Management;6
697;Enterprise;Modify Authentication Process;Password Policies;7
698;Enterprise;Thread Local Storage;Behavior Prevention on Endpoint;5
699;Enterprise;Network Boundary Bridging;Privileged Account Management;6
700;Enterprise;Create Cloud Instance;User Account Management;8
701;Enterprise;System Binary Proxy Execution;Privileged Account Management;6
702;Enterprise;Process Doppelgänging;Behavior Prevention on Endpoint;5
703;Enterprise;Embedded Payloads;Behavior Prevention on Endpoint;5
704;Enterprise;Social Media Accounts;Pre-compromise;5
705;Enterprise;Unix Shell Configuration Modification;Restrict File and Directory Permissions;6
706;Enterprise;Downgrade System Image;Password Policies;7
707;Enterprise;Data from Configuration Repository;Encrypt Sensitive Information;5
708;Enterprise;ARP Cache Poisoning;Encrypt Sensitive Information;5
709;Enterprise;Spearphishing Link;User Training;8
710;Enterprise;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;Filter Network Traffic;7
711;Enterprise;Social Media;Pre-compromise;5
712;Enterprise;Credential Stuffing;Account Use Policies;5
713;Enterprise;DLL Side-Loading;Application Developer Guidance;5
714;Enterprise;PubPrn;Behavior Prevention on Endpoint;5
715;Enterprise;Cloud Account;Privileged Account Management;6
716;Enterprise;Hybrid Identity;Audit;6
717;Enterprise;VBA Stomping;Disable or Remove Feature or Program;6
718;Enterprise;PowerShell;Execution Prevention;6
719;Enterprise;Tool;Pre-compromise;5
720;Enterprise;Distributed Component Object Model;Privileged Account Management;6
721;Enterprise;RDP Hijacking;Privileged Account Management;6
722;Enterprise;Launch Agent;Restrict File and Directory Permissions;6
723;Enterprise;Compiled HTML File;Restrict Web-Based Content;5
724;Enterprise;Safe Mode Boot;Privileged Account Management;6
725;Enterprise;Masquerading;Code Signing;5
726;Enterprise;Domain Generation Algorithms;Restrict Web-Based Content;5
727;Enterprise;Windows Management Instrumentation;Privileged Account Management;6
728;Enterprise;Downgrade System Image;Code Signing;5
729;Enterprise;Active Scanning;Pre-compromise;5
730;Enterprise;Process Injection;Behavior Prevention on Endpoint;5
731;Enterprise;Domain Policy Modification;Privileged Account Management;6
732;Enterprise;System Services;Restrict File and Directory Permissions;6
733;Enterprise;System Services;Behavior Prevention on Endpoint;5
734;Enterprise;Create or Modify System Process;User Account Management;8
735;Enterprise;Confluence;User Account Management;8
736;Enterprise;Exploitation for Credential Access;Application Isolation and Sandboxing;5
737;Enterprise;Windows File and Directory Permissions Modification;Privileged Account Management;6
738;Enterprise;Windows Remote Management;Disable or Remove Feature or Program;6
739;Enterprise;Steal Application Access Token;User Training;8
740;Enterprise;Forced Authentication;Password Policies;7
741;Enterprise;Deploy Container;Audit;6
742;Enterprise;Exfiltration Over Alternative Protocol;Data Loss Prevention;5
743;Enterprise;Downgrade Attack;Disable or Remove Feature or Program;6
744;Enterprise;IIS Components;Privileged Account Management;6
745;Enterprise;Cloud Accounts;Pre-compromise;5
746;Enterprise;Data from Cloud Storage;Audit;6
747;Enterprise;Dynamic Linker Hijacking;Execution Prevention;6
748;Enterprise;Server Software Component;Audit;6
749;Enterprise;Create or Modify System Process;Behavior Prevention on Endpoint;5
750;Enterprise;Domain Controller Authentication;Privileged Process Integrity;5
751;Enterprise;System Binary Proxy Execution;Execution Prevention;6
752;Enterprise;Outlook Home Page;Update Software;8
753;Enterprise;Exfiltration Over Alternative Protocol;Restrict File and Directory Permissions;6
754;Enterprise;Confluence;Audit;6
755;Enterprise;Compromise Software Supply Chain;Vulnerability Scanning;8
756;Enterprise;AppleScript;Execution Prevention;6
757;Enterprise;OS Exhaustion Flood;Filter Network Traffic;7
758;Enterprise;AppInit DLLs;Execution Prevention;6
759;Enterprise;Use Alternate Authentication Material;User Account Management;8
760;Enterprise;LLMNR/NBT-NS Poisoning and SMB Relay;Filter Network Traffic;7
761;Enterprise;Remote Desktop Protocol;Operating System Configuration;7
762;Enterprise;Domain Generation Algorithms;Network Intrusion Prevention;8
763;Enterprise;Visual Basic;Behavior Prevention on Endpoint;5
764;Enterprise;Taint Shared Content;Restrict File and Directory Permissions;6
765;Enterprise;Spearphishing Attachment;Software Configuration;8
766;Enterprise;Accessibility Features;Limit Access to Resource Over Network;6
767;Enterprise;Supply Chain Compromise;Vulnerability Scanning;8
768;Enterprise;Command and Scripting Interpreter;Privileged Account Management;6
769;Enterprise;Runtime Data Manipulation;Network Segmentation;8
770;Enterprise;Office Template Macros;Behavior Prevention on Endpoint;5
771;Enterprise;Process Hollowing;Behavior Prevention on Endpoint;5
772;Enterprise;Software;Pre-compromise;5
773;Enterprise;Additional Cloud Roles;User Account Management;8
774;Enterprise;Outlook Rules;Behavior Prevention on Endpoint;5
775;Enterprise;Deploy Container;Limit Access to Resource Over Network;6
776;Enterprise;Account Manipulation;Privileged Account Management;6
777;Enterprise;LC_LOAD_DYLIB Addition;Code Signing;5
778;Enterprise;Vulnerability Scanning;Pre-compromise;5
779;Enterprise;Python;Limit Software Installation;5
780;Enterprise;ROMMONkit;Network Intrusion Prevention;8
781;Enterprise;Steal or Forge Authentication Certificates;Disable or Remove Feature or Program;6
782;Enterprise;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;Network Intrusion Prevention;8
783;Enterprise;Launchctl;User Account Management;8
784;Enterprise;Code Signing Certificates;Pre-compromise;5
785;Enterprise;System Firmware;Boot Integrity;6
786;Enterprise;Drive-by Target;Pre-compromise;5
787;Enterprise;DCSync;Password Policies;7
788;Enterprise;Firmware Corruption;Boot Integrity;6
789;Enterprise;Create Account;Operating System Configuration;7
790;Enterprise;Private Keys;Password Policies;7
791;Enterprise;Multi-hop Proxy;Filter Network Traffic;7
792;Enterprise;Modify System Image;Password Policies;7
793;Enterprise;Re-opened Applications;User Training;8
794;Enterprise;SNMP (MIB Dump);Update Software;8
795;Enterprise;TFTP Boot;Network Intrusion Prevention;8
796;Enterprise;Install Root Certificate;Operating System Configuration;7
797;Enterprise;Cloud API;Privileged Account Management;6
798;Enterprise;Exploit Public-Facing Application;Network Segmentation;8
799;Enterprise;SSH Hijacking;Privileged Account Management;6
800;Enterprise;Network Denial of Service;Filter Network Traffic;7
801;Enterprise;Cloud Instance Metadata API;Filter Network Traffic;7
802;Enterprise;Fallback Channels;Network Intrusion Prevention;8
803;Enterprise;Account Manipulation;Operating System Configuration;7
804;Enterprise;TFTP Boot;Boot Integrity;6
805;Enterprise;Email Accounts;Pre-compromise;5
806;Enterprise;Compiled HTML File;Execution Prevention;6
807;Enterprise;Web Protocols;Network Intrusion Prevention;8
808;Enterprise;Data Manipulation;Remote Data Storage;6
809;Enterprise;Software Deployment Tools;Remote Data Storage;6
810;Enterprise;Disable or Modify System Firewall;Restrict Registry Permissions;5
811;Enterprise;Verclsid;Disable or Remove Feature or Program;6
812;Enterprise;Email Addresses;Pre-compromise;5
813;Enterprise;JavaScript;Disable or Remove Feature or Program;6
814;Enterprise;Container API;Network Segmentation;8
815;Enterprise;Invalid Code Signature;Code Signing;5
816;Enterprise;Pass the Hash;User Account Management;8
817;Enterprise;AS-REP Roasting;Encrypt Sensitive Information;5
818;Enterprise;SNMP (MIB Dump);Network Segmentation;8
819;Enterprise;Domain Trust Discovery;Network Segmentation;8
820;Enterprise;Outlook Forms;Update Software;8
821;Enterprise;Dynamic Resolution;Restrict Web-Based Content;5
822;Enterprise;Hidden Window;Execution Prevention;6
823;Enterprise;Container Administration Command;Limit Access to Resource Over Network;6
824;Enterprise;COR_PROFILER;Execution Prevention;6
825;Enterprise;Business Relationships;Pre-compromise;5
826;Enterprise;Disable or Modify Tools;User Account Management;8
827;Enterprise;Modify System Image;Credential Access Protection;5
828;Enterprise;Web Shell;User Account Management;8
829;Enterprise;Client Configurations;Pre-compromise;5
830;Enterprise;Email Collection;Audit;6
831;Enterprise;Exploitation for Privilege Escalation;Update Software;8
832;Enterprise;Use Alternate Authentication Material;Privileged Account Management;6
833;Enterprise;Office Test;Behavior Prevention on Endpoint;5
834;Enterprise;Exploitation of Remote Services;Privileged Account Management;6
835;Enterprise;Unsecured Credentials;Filter Network Traffic;7
836;Enterprise;Pre-OS Boot;Boot Integrity;6
837;Enterprise;Golden Ticket;Privileged Account Management;6
838;Enterprise;Multi-Stage Channels;Network Intrusion Prevention;8
839;Enterprise;Adversary-in-the-Middle;Limit Access to Resource Over Network;6
840;Enterprise;Ptrace System Calls;Behavior Prevention on Endpoint;5
841;Enterprise;Clear Command History;Environment Variable Permissions;5
842;Enterprise;Serverless Execution;User Account Management;8
843;Enterprise;Sudo and Sudo Caching;Restrict File and Directory Permissions;6
844;Enterprise;Data from Cloud Storage;Filter Network Traffic;7
845;Enterprise;Path Interception by Search Order Hijacking;Audit;6
846;Enterprise;Elevated Execution with Prompt;Execution Prevention;6
847;Enterprise;Additional Cloud Roles;Multi-factor Authentication;8
848;Enterprise;Security Account Manager;Password Policies;7
849;Enterprise;Account Discovery;Operating System Configuration;7
850;Enterprise;DLL Search Order Hijacking;Execution Prevention;6
851;Enterprise;Credentials in Registry;Audit;6
852;Enterprise;Domain Properties;Pre-compromise;5
853;Enterprise;Pluggable Authentication Modules;Privileged Account Management;6
854;Enterprise;Cloud Services;Privileged Account Management;6
855;Enterprise;Unsecured Credentials;Privileged Account Management;6
856;Enterprise;IIS Components;Code Signing;5
857;Enterprise;Phishing for Information;User Training;8
858;Enterprise;Cloud Accounts;User Account Management;8
859;Enterprise;Transport Agent;Privileged Account Management;6
860;Enterprise;Exploitation for Privilege Escalation;Application Isolation and Sandboxing;5
861;Enterprise;PubPrn;Execution Prevention;6
862;Enterprise;TFTP Boot;Privileged Account Management;6
863;Enterprise;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Network Intrusion Prevention;8
864;Enterprise;MSBuild;Disable or Remove Feature or Program;6
865;Enterprise;SAML Tokens;Audit;6
866;Enterprise;Remote Desktop Protocol;User Account Management;8
867;Enterprise;DLL Search Order Hijacking;Restrict Library Loading;6
868;Enterprise;Replication Through Removable Media;Limit Hardware Installation;8
869;Enterprise;Authentication Package;Privileged Process Integrity;5
870;Enterprise;Taint Shared Content;Exploit Protection;6
871;Enterprise;Pass the Hash;Privileged Account Management;6
872;Enterprise;Windows Service;Audit;6
873;Enterprise;Network Sniffing;User Account Management;8
874;Enterprise;Exfiltration Over Unencrypted Non-C2 Protocol;Filter Network Traffic;7
875;Enterprise;Hybrid Identity;Privileged Account Management;6
876;Enterprise;Office Application Startup;Behavior Prevention on Endpoint;5
877;Enterprise;IIS Components;Audit;6
878;Enterprise;Ptrace System Calls;Privileged Account Management;6
879;Enterprise;SSH Hijacking;Password Policies;7
880;Enterprise;Steal Web Session Cookie;Software Configuration;8
881;Enterprise;Group Policy Preferences;Active Directory Configuration;5
882;Enterprise;Exfiltration Over Alternative Protocol;Filter Network Traffic;7
883;Enterprise;Password Cracking;Password Policies;7
884;Enterprise;Network Device CLI;Execution Prevention;6
885;Enterprise;Application Exhaustion Flood;Filter Network Traffic;7
886;Enterprise;Mshta;Execution Prevention;6
887;Enterprise;Communication Through Removable Media;Operating System Configuration;7
888;Enterprise;Clear Network Connection History and Configurations;Remote Data Storage;6
889;Enterprise;Boot or Logon Initialization Scripts;Restrict File and Directory Permissions;6
890;Enterprise;RDP Hijacking;User Account Management;8
891;Enterprise;Executable Installer File Permissions Weakness;User Account Management;8
892;Enterprise;Create or Modify System Process;Limit Software Installation;5
893;Enterprise;Spearphishing via Service;Restrict Web-Based Content;5
894;Enterprise;Exfiltration Over C2 Channel;Network Intrusion Prevention;8
895;Enterprise;Threat Intel Vendors;Pre-compromise;5
896;Enterprise;Clear Linux or Mac System Logs;Restrict File and Directory Permissions;6
897;Enterprise;Software Deployment Tools;Active Directory Configuration;5
898;Enterprise;SAML Tokens;Privileged Account Management;6
899;Enterprise;Cloud Administration Command;Privileged Account Management;6
900;Enterprise;File and Directory Permissions Modification;Restrict File and Directory Permissions;6
901;Enterprise;Path Interception by PATH Environment Variable;Execution Prevention;6
902;Enterprise;Transport Agent;Code Signing;5
903;Enterprise;Container and Resource Discovery;Network Segmentation;8
904;Enterprise;Password Guessing;Update Software;8
905;Enterprise;Steal or Forge Authentication Certificates;Active Directory Configuration;5
906;Enterprise;Exploitation of Remote Services;Update Software;8
907;Enterprise;RDP Hijacking;Audit;6
908;Enterprise;SQL Stored Procedures;Audit;6
909;Enterprise;Credentials In Files;Password Policies;7
910;Enterprise;Dynamic-link Library Injection;Behavior Prevention on Endpoint;5
911;Enterprise;RC Scripts;Restrict File and Directory Permissions;6
912;Enterprise;Disable Windows Event Logging;Restrict Registry Permissions;5
913;Enterprise;Kerberoasting;Privileged Account Management;6
914;Enterprise;Service Execution;Restrict File and Directory Permissions;6
915;Enterprise;Service Stop;Restrict File and Directory Permissions;6
916;Enterprise;Bidirectional Communication;Restrict Web-Based Content;5
917;Enterprise;Web Shell;Disable or Remove Feature or Program;6
918;Enterprise;VNC;Filter Network Traffic;7
919;Enterprise;Exploitation of Remote Services;Exploit Protection;6
920;Enterprise;Lateral Tool Transfer;Network Intrusion Prevention;8
921;Enterprise;File and Directory Permissions Modification;Privileged Account Management;6
922;Enterprise;Modify Authentication Process;Operating System Configuration;7
923;Enterprise;Account Manipulation;User Account Management;8
924;Enterprise;Create or Modify System Process;Operating System Configuration;7
925;Enterprise;Delete Cloud Instance;User Account Management;8
926;Enterprise;Remote Email Collection;Encrypt Sensitive Information;5
927;Enterprise;Indicator Blocking;Software Configuration;8
928;Enterprise;Service Exhaustion Flood;Filter Network Traffic;7
929;Enterprise;LSASS Memory;Operating System Configuration;7
930;Enterprise;Exploitation for Defense Evasion;Update Software;8
931;Enterprise;LSASS Driver;Privileged Process Integrity;5
932;Enterprise;InstallUtil;Execution Prevention;6
933;Enterprise;Subvert Trust Controls;Operating System Configuration;7
934;Enterprise;Domain Accounts;User Training;8
935;Enterprise;Software Deployment Tools;Password Policies;7
936;Enterprise;Impair Defenses;Audit;6
937;Enterprise;Data from Cloud Storage;Encrypt Sensitive Information;5
938;Enterprise;Remote Desktop Protocol;Multi-factor Authentication;8
939;Enterprise;Template Injection;Network Intrusion Prevention;8
940;Enterprise;Network Device Authentication;Multi-factor Authentication;8
941;Enterprise;Clear Network Connection History and Configurations;Restrict Registry Permissions;5
942;Enterprise;Hijack Execution Flow;User Account Control;8
943;Enterprise;Botnet;Pre-compromise;5
944;Enterprise;Accessibility Features;Execution Prevention;6
945;Enterprise;Exfiltration over USB;Disable or Remove Feature or Program;6
946;Enterprise;Credentials In Files;Restrict File and Directory Permissions;6
947;Enterprise;Spearphishing Link;Restrict Web-Based Content;5
948;Enterprise;Server Software Component;Restrict Registry Permissions;5
949;Enterprise;Protocol Tunneling;Filter Network Traffic;7
950;Enterprise;Runtime Data Manipulation;Restrict File and Directory Permissions;6
951;Enterprise;One-Way Communication;Network Intrusion Prevention;8
952;Enterprise;Office Template Macros;Disable or Remove Feature or Program;6
953;Enterprise;Compromise Infrastructure;Pre-compromise;5
954;Enterprise;IIS Components;Execution Prevention;6
955;Enterprise;Winlogon Helper DLL;User Account Management;8
956;Enterprise;Lateral Tool Transfer;Filter Network Traffic;7
957;Enterprise;Bidirectional Communication;Network Intrusion Prevention;8
958;Enterprise;LLMNR/NBT-NS Poisoning and SMB Relay;Network Segmentation;8
959;Enterprise;Spearphishing Attachment;User Training;8
960;Enterprise;Inter-Process Communication;Application Isolation and Sandboxing;5
961;Enterprise;Hijack Execution Flow;Update Software;8
962;Enterprise;Exploitation for Credential Access;Exploit Protection;6
963;Enterprise;Patch System Image;Privileged Account Management;6
964;Enterprise;Modify Cloud Compute Infrastructure;Audit;6
965;Enterprise;Create Process with Token;Privileged Account Management;6
966;Enterprise;Run Virtual Instance;Disable or Remove Feature or Program;6
967;Enterprise;Traffic Duplication;Encrypt Sensitive Information;5
968;Enterprise;Windows File and Directory Permissions Modification;Restrict File and Directory Permissions;6
969;Enterprise;Web Services;Pre-compromise;5
970;Enterprise;Scheduled Task;User Account Management;8
971;Enterprise;Executable Installer File Permissions Weakness;Audit;6
972;Enterprise;Windows Service;Code Signing;5
973;Enterprise;Abuse Elevation Control Mechanism;Audit;6
974;Enterprise;Cloud Accounts;Pre-compromise;5
975;Enterprise;Command and Scripting Interpreter;Execution Prevention;6
976;Enterprise;Hidden Users;Operating System Configuration;7
977;Enterprise;Exploitation for Credential Access;Threat Intelligence Program;8
978;Enterprise;Bypass User Account Control;Audit;6
979;Enterprise;Systemd Service;User Account Management;8
980;Enterprise;Code Signing Policy Modification;Restrict Registry Permissions;5
981;Enterprise;Credentials from Web Browsers;Password Policies;7
982;Enterprise;Communication Through Removable Media;Disable or Remove Feature or Program;6
983;Enterprise;Steal Application Access Token;Restrict Web-Based Content;5
984;Enterprise;User Execution;Network Intrusion Prevention;8
985;Enterprise;External Proxy;Network Intrusion Prevention;8
986;Enterprise;Proc Filesystem;Privileged Account Management;6
987;Enterprise;Search Open Technical Databases;Pre-compromise;5
988;Enterprise;Terminal Services DLL;Audit;6
989;Enterprise;Spearphishing via Service;Antivirus/Antimalware;5
990;Enterprise;Direct Network Flood;Filter Network Traffic;7
991;Enterprise;Distributed Component Object Model;Application Isolation and Sandboxing;5
992;Enterprise;Golden Ticket;Active Directory Configuration;5
993;Enterprise;Social Media Accounts;Pre-compromise;5
994;Enterprise;Email Collection;Encrypt Sensitive Information;5
995;Enterprise;Non-Application Layer Protocol;Filter Network Traffic;7
996;Enterprise;Clear Mailbox Data;Audit;6
997;Enterprise;COR_PROFILER;User Account Management;8
998;Enterprise;Hijack Execution Flow;Restrict Library Loading;6
999;Enterprise;Delete Cloud Instance;Audit;6
1000;Enterprise;Escape to Host;Disable or Remove Feature or Program;6
1001;Enterprise;Time Providers;Restrict Registry Permissions;5
1002;Enterprise;Proxy;Filter Network Traffic;7
1003;Enterprise;LC_LOAD_DYLIB Addition;Execution Prevention;6
1004;Enterprise;Mshta;Disable or Remove Feature or Program;6
1005;Enterprise;SMB/Windows Admin Shares;Password Policies;7
1006;Enterprise;Data Transfer Size Limits;Network Intrusion Prevention;8
1007;Enterprise;Data from Configuration Repository;Filter Network Traffic;7
1008;Enterprise;Hijack Execution Flow;Execution Prevention;6
1009;Enterprise;Scanning IP Blocks;Pre-compromise;5
1010;Enterprise;SSH Hijacking;Restrict File and Directory Permissions;6
1011;Enterprise;TFTP Boot;Limit Access to Resource Over Network;6
1012;Enterprise;Cloud Accounts;Active Directory Configuration;5
1013;Enterprise;Disable or Modify System Firewall;User Account Management;8
1014;Enterprise;LSASS Driver;Credential Access Protection;5
1015;Enterprise;Stored Data Manipulation;Remote Data Storage;6
1016;Enterprise;Password Filter DLL;Operating System Configuration;7
1017;Enterprise;External Remote Services;Limit Access to Resource Over Network;6
1018;Enterprise;Office Application Startup;Software Configuration;8
1019;Enterprise;Windows Management Instrumentation Event Subscription;User Account Management;8
1020;Enterprise;Data Encrypted for Impact;Behavior Prevention on Endpoint;5
1021;Enterprise;SSH;Multi-factor Authentication;8
1022;Enterprise;Code Repositories;Application Developer Guidance;5
1023;Enterprise;Bash History;Operating System Configuration;7
1024;Enterprise;Valid Accounts;Active Directory Configuration;5
1025;Enterprise;Domain Accounts;Multi-factor Authentication;8
1026;Enterprise;Inhibit System Recovery;User Account Management;8
1027;Enterprise;Data Encrypted for Impact;Data Backup;6
1028;Enterprise;Exfiltration Over Physical Medium;Limit Hardware Installation;8
